"Nom_site","treatment_site","treatment","contamination","control_site","control_treatment","control_contamination","indicator","raw_treatment","raw_control","LRR","framework","score_treatment","score_control","delta_score"
"Yvetot","B10YVSI","prair rest 1","non","B10YVGC","blé","non","RSr",2.99999999999999,4.99999994553415,-0.510825612872824,"ANDRA",1,1,0
"Yvetot","B10YVSI","prair rest 1","non","B10YVGC","blé","non","RSr",2.99999999999999,4.99999994553415,-0.510825612872824,"TIGA_rural",1,2,-1
"Yvetot","B10YVSII","prair rest 2","non","B10YVGC","blé","non","RSr",5.99999315079364,4.99999994553415,0.182320426152081,"RMQS_Biodiversite",3,3,0
"Yvetot","B10YVSII","prair rest 2","non","B10YVGC","blé","non","RSr",5.99999315079364,4.99999994553415,0.182320426152081,"RMQS_BioDiv_Bretagne",2,2,0
"Yvetot","B10YVSII","prair rest 2","non","B10YVGC","blé","non","RSr",5.99999315079364,4.99999994553415,0.182320426152081,"ANDRA",1,1,0
"Yvetot","B10YVSII","prair rest 2","non","B10YVGC","blé","non","RSr",5.99999315079364,4.99999994553415,0.182320426152081,"TIGA_rural",2,2,0
"Yvetot","B10YVSIII","blé","non","B10YVGC","blé","non","RSr",0,4.99999994553415,,"RMQS_Biodiversite",0,3,-3
"Yvetot","B10YVSIII","blé","non","B10YVGC","blé","non","RSr",0,4.99999994553415,,"RMQS_BioDiv_Bretagne",0,2,-2
"Yvetot","B10YVSIII","blé","non","B10YVGC","blé","non","RSr",0,4.99999994553415,,"ANDRA",1,1,0
"Yvetot","B10YVSIII","blé","non","B10YVGC","blé","non","RSr",0,4.99999994553415,,"TIGA_rural",1,2,-1
"Yvetot","B10YVSIV","prair temp","non","B10YVGC","blé","non","RSr",8.92318471557118,4.99999994553415,0.579215012224255,"RMQS_Biodiversite",5,3,2
"Yvetot","B10YVSIV","prair temp","non","B10YVGC","blé","non","RSr",8.92318471557118,4.99999994553415,0.579215012224255,"RMQS_BioDiv_Bretagne",3,2,1
"Yvetot","B10YVSIV","prair temp","non","B10YVGC","blé","non","RSr",8.92318471557118,4.99999994553415,0.579215012224255,"ANDRA",3,1,2
"Yvetot","B10YVSIV","prair temp","non","B10YVGC","blé","non","RSr",8.92318471557118,4.99999994553415,0.579215012224255,"TIGA_rural",4,2,2
"Yvetot","B10YVPP","prair perm","non","B10YVGC","blé","non","ab",441,2828,-1.85828015156962,"RMQS_Biodiversite",1,3,-2
"Yvetot","B10YVPP","prair perm","non","B10YVGC","blé","non","ab",441,2828,-1.85828015156962,"RMQS_BioDiv_Bretagne",1,2,-1
"Yvetot","B10YVPP","prair perm","non","B10YVGC","blé","non","ab",441,2828,-1.85828015156962,"ANDRA",1,2,-1
"Yvetot","B10YVPP","prair perm","non","B10YVGC","blé","non","ab",441,2828,-1.85828015156962,"TIGA_rural",1,3,-2
"Yvetot","B10YVSI","prair rest 1","non","B10YVGC","blé","non","ab",4509,2828,0.466505651404621,"RMQS_Biodiversite",4,3,1
"Yvetot","B10YVSI","prair rest 1","non","B10YVGC","blé","non","ab",4509,2828,0.466505651404621,"RMQS_BioDiv_Bretagne",2,2,0
"Yvetot","B10YVSI","prair rest 1","non","B10YVGC","blé","non","ab",4509,2828,0.466505651404621,"ANDRA",3,2,1
"Yvetot","B10YVSI","prair rest 1","non","B10YVGC","blé","non","ab",4509,2828,0.466505651404621,"TIGA_rural",4,3,1
"Yvetot","B10YVSII","prair rest 2","non","B10YVGC","blé","non","ab",7782,2828,1.01224362652804,"RMQS_Biodiversite",5,3,2
